date,home_team,away_team,book_spread,book_total,book_home_ml,book_away_ml,pred_margin,pred_total,pred_win_prob
20260409,GSW,LAL,-4.5,225.5,-192.0,160.0,-6.2,226.2,34.1
20260409,TOR,MIA,-3.5,236.5,-162.0,136.0,4.1,237.3,63.3
20260409,BKN,IND,3.5,223.5,136.0,-162.0,-7.1,220.4,38.1
20260409,HOU,PHI,-5.5,226.5,-218.0,180.0,0.3,230.0,55.2
20260409,NYK,BOS,-5.5,214.5,-218.0,180.0,-2.7,223.7,46.0
20260409,WAS,CHI,6.5,248.5,210.0,-258.0,-2.9,236.9,47.4
20260410,BOS,NOP,-17.5,223.5,-1650.0,950.0,14.1,226.6,88.0
20260410,SAS,DAL,-17.5,234.5,-1800.0,1000.0,16.0,230.1,86.5
20260410,IND,PHI,14.5,233.5,750.0,-1200.0,-10.1,225.9,20.4
20260410,WAS,MIA,17.5,246.5,1000.0,-1800.0,-9.8,236.4,23.8
20260410,CHI,ORL,15.5,242.5,675.0,-1050.0,-7.8,234.6,29.7
20260410,HOU,MIN,-10.5,222.5,-470.0,360.0,4.7,223.5,68.9
20260410,ATL,CLE,-7.5,233.5,-340.0,270.0,3.7,228.7,66.3
20260410,LAL,PHX,2.5,218.5,120.0,-142.0,3.2,220.8,66.0
20260410,NYK,TOR,-5.5,219.5,-250.0,205.0,2.9,229.0,65.0
20260410,UTA,MEM,-3.5,248.5,-162.0,136.0,4.7,216.4,64.2
20260410,MIL,BKN,-9.5,218.5,-470.0,360.0,2.3,227.7,62.6
20260410,SAC,GSW,10.5,228.5,370.0,-485.0,-7.0,233.4,38.0
20260410,DEN,OKC,-12.5,231.5,-600.0,440.0,3.4,226.0,61.8
20260410,CHA,DET,-5.5,225.5,-205.0,170.0,1.6,224.6,58.7
20260410,POR,LAC,-1.5,226.5,-115.0,-105.0,-0.3,227.1,51.6
20260410,BOS,NOP,,,,,7.7,233.7,79.5
20260410,SAS,DAL,,,,,10.2,236.4,73.4
20260410,IND,PHI,,,,,-5.6,233.3,27.5
20260410,MIL,BKN,,,,,4.0,238.1,71.5
20260410,HOU,MIN,,,,,1.7,221.4,69.4
20260410,CHI,ORL,,,,,-5.1,240.8,30.9
20260410,UTA,MEM,,,,,3.6,222.3,68.2
20260410,WAS,MIA,,,,,-5.6,241.9,32.4
20260410,DEN,OKC,,,,,1.3,227.5,65.9
20260410,LAL,PHX,,,,,2.2,219.5,65.7
20260410,SAC,GSW,,,,,-4.4,241.2,37.9
20260410,ATL,CLE,,,,,0.4,233.4,61.7
20260410,NYK,TOR,,,,,-0.1,233.9,61.2
20260410,CHA,DET,,,,,-1.2,230.9,55.2
20260410,POR,LAC,,,,,-0.6,231.9,53.0
20260414,CHA,MIA,,,,,4.3,239.1,71.8
20260414,PHX,POR,,,,,-3.5,236.7,48.0
20260414,CHA,MIA,,,,,2.8,240.0,68.9
20260414,PHX,POR,,,,,-3.7,236.1,48.6
20260414,CHA,MIA,,,,,3.5,239.7,72.1
20260414,PHX,POR,,,,,-3.7,236.1,48.6
20260414,CHA,MIA,,,,,3.5,239.7,72.1
20260414,PHX,POR,,,,,-3.7,236.1,48.6
20260415,LAC,GSW,-5.5,221.5,-205.0,170.0,1.9,237.4,65.5
20260415,PHI,ORL,-1.5,222.5,-125.0,105.0,-0.4,228.1,61.3
20260415,LAC,GSW,-5.5,221.5,-205.0,170.0,1.9,237.4,65.5
20260415,PHI,ORL,-1.5,222.5,-125.0,105.0,-0.4,228.1,61.3
20260415,LAC,GSW,-5.5,221.5,-205.0,170.0,1.9,237.4,65.5
20260415,PHI,ORL,-1.5,222.5,-125.0,105.0,-0.4,228.1,61.3
20260415,LAC,GSW,-5.5,221.5,-205.0,170.0,1.9,237.4,65.5
20260415,PHI,ORL,-2.5,222.5,-135.0,114.0,-0.4,228.1,61.3
20260415,LAC,GSW,-5.5,221.5,-205.0,170.0,1.9,237.4,65.5
20260415,PHI,ORL,-2.5,222.5,-135.0,114.0,-0.4,228.1,61.3
20260415,LAC,GSW,-5.5,221.5,-205.0,170.0,1.9,237.4,65.5
20260415,PHI,ORL,-2.5,222.5,-135.0,114.0,-0.4,228.1,61.3
